ECO,28.60,42.00,280,0,0.000
ECO,28.20,42.00,257,0,0.001
ECO,28.00,42.00,257,0,0.000
ECO,28.20,42.00,252,0,0.000
ECO,28.70,42.00,246,0,0.000
ECO,28.70,42.00,241,0,0.000
ECO,28.70,42.00,235,0,0.000
ECO,28.80,42.00,235,0,0.000
ECO,28.70,42.00,228,0,0.000
ECO,28.30,42.00,221,0,0.000
ECO,28.80,42.00,224,0,0.000
ECO,28.40,42.00,217,0,0.000
CONFORT,28.90,42.00,242,0,0.506
CONFORT,28.50,42.00,240,1,0.546
CONFORT,28.00,42.00,236,1,0.411
NOAPTE,28.60,42.00,220,1,0.543
ECO,28.20,42.00,243,1,0.000
ECO,28.50,42.00,247,1,0.000
ECO,28.50,42.00,242,1,0.000
ECO,28.70,42.00,239,1,0.000
ECO,28.60,42.00,238,1,0.000
ECO,28.80,42.00,231,1,0.000
ECO,28.50,42.00,227,1,0.000
ECO,28.90,42.00,230,1,0.000
ECO,28.50,42.00,220,1,0.000
ECO,28.30,42.00,219,1,0.001
ECO,28.80,42.00,217,1,0.000
ECO,28.70,42.00,213,1,0.000
ECO,28.20,42.00,148,0,0.000
ECO,28.50,42.00,149,0,0.001
ECO,28.40,42.00,145,0,0.000
ECO,28.20,42.00,145,0,0.000
ECO,28.00,42.00,136,0,0.000
ECO,28.70,42.00,137,0,0.000
ECO,28.60,42.00,134,0,0.000
ECO,28.60,42.00,187,1,0.000
ECO,28.60,42.00,181,1,0.000
ECO,28.70,42.00,182,1,0.000
ECO,28.50,42.00,180,1,0.000
ECO,28.50,42.00,176,1,0.001
ECO,28.10,42.00,172,1,0.000
ECO,28.60,42.00,169,1,0.000
ECO,28.30,42.00,149,1,0.000
NOAPTE,28.90,42.00,137,1,0.441
NOAPTE,28.40,42.00,134,1,0.508
NOAPTE,28.70,42.00,127,1,0.507
NOAPTE,28.60,42.00,127,1,0.410
NOAPTE,28.00,42.00,133,1,0.563
NOAPTE,28.70,42.00,126,1,0.511
NOAPTE,28.70,42.00,80,0,0.516
NOAPTE,28.40,42.00,82,0,0.510
ECO,28.70,43.00,74,0,0.000
ECO,28.10,42.00,63,0,0.000
NOAPTE,28.20,42.00,66,1,0.540
NOAPTE,28.60,42.00,64,1,0.538
NOAPTE,28.00,42.00,62,1,0.503
ECO,28.40,43.00,131,1,0.000
ECO,28.10,43.00,127,1,0.000
ECO,28.20,43.00,117,1,0.000
ECO,28.20,43.00,117,1,0.000
CONFORT,28.10,43.00,90,1,0.527
CONFORT,28.50,43.00,89,1,0.548
CONFORT,28.30,43.00,78,1,0.425
NOAPTE,28.30,43.00,35,1,0.531
NOAPTE,28.60,43.00,34,1,0.523
ECO,28.00,43.00,49,1,0.000
ECO,28.90,43.00,29,0,0.001
ECO,28.70,43.00,104,1,0.000
CONFORT,28.20,43.00,78,1,0.602
ECO,28.60,43.00,87,1,0.000
ECO,26.40,47.00,0,1,0.000
ECO,26.00,47.00,0,1,0.000
ECO,26.20,47.00,0,1,0.000
ECO,26.50,47.00,0,1,0.000
ECO,26.10,47.00,0,1,0.000
ECO,26.50,47.00,0,1,0.000
ECO,26.60,47.00,0,1,0.000
ECO,26.50,47.00,0,1,0.000
ECO,27.10,47.00,0,1,0.000
ECO,27.10,47.00,0,0,0.000
ECO,27.10,47.00,0,0,0.000
ECO,27.70,47.00,0,0,0.000
CONFORT,27.10,47.00,0,1,0.542
CONFORT,27.50,47.00,0,1,0.538
CONFORT,27.90,47.00,0,1,0.543
CONFORT,27.90,47.00,0,1,0.540
CONFORT,27.90,47.00,0,1,0.535
CONFORT,27.70,47.00,0,1,0.572
CONFORT,27.00,47.00,0,1,0.540
CONFORT,27.20,47.00,0,1,0.547
CONFORT,27.20,47.00,0,1,0.533
CONFORT,27.50,47.00,0,1,0.430
CONFORT,27.60,47.00,0,1,0.562
NOAPTE,27.70,47.00,0,1,0.585
NOAPTE,27.70,47.00,0,1,0.555
NOAPTE,27.70,47.00,0,1,0.550
NOAPTE,27.50,47.00,0,1,0.000
NOAPTE,27.70,47.00,0,0,0.592
NOAPTE,27.20,47.00,0,0,0.000
NOAPTE,27.80,47.00,0,0,0.564
NOAPTE,27.40,47.00,0,0,0.000
NOAPTE,27.80,47.00,0,0,0.584
NOAPTE,27.30,47.00,0,0,0.000
NOAPTE,27.80,47.00,0,0,0.557
NOAPTE,27.30,47.00,0,0,0.000
NOAPTE,27.80,47.00,0,0,0.457
NOAPTE,27.10,47.00,0,0,0.000
ECO,27.70,47.00,0,0,0.000
ECO,27.20,47.00,0,0,0.000
ECO,27.00,47.00,1,1,0.000
ECO,27.60,47.00,4,1,0.000
ECO,27.70,47.00,4,1,0.000
ECO,27.50,47.00,0,1,0.001
ECO,27.00,47.00,0,1,0.000
ECO,27.50,47.00,4,1,0.000
ECO,27.00,47.00,1,1,0.000
ECO,27.50,47.00,0,1,0.000
ECO,27.60,47.00,0,1,0.000
ECO,27.10,47.00,4,1,0.000
ECO,27.10,47.00,1,1,0.001
ECO,27.80,47.00,0,1,0.000
ECO,27.50,47.00,0,1,0.000
ECO,27.20,47.00,0,0,0.001
ECO,27.40,47.00,0,0,0.000
ECO,27.20,47.00,0,0,0.000
ECO,27.10,47.00,0,0,0.001
ECO,27.00,47.00,0,1,0.000
CONFORT,27.60,47.00,0,1,0.000
CONFORT,27.90,47.00,0,1,0.000
CONFORT,27.90,47.00,0,1,0.000
ECO,27.50,47.00,0,1,0.000
ECO,27.10,47.00,0,1,0.000
ECO,27.10,47.00,0,1,0.000
ECO,27.20,47.00,0,1,0.000
ECO,27.20,47.00,0,1,0.000
ECO,27.30,47.00,0,1,0.000
ECO,27.00,47.00,0,1,0.000
ECO,27.20,47.00,0,1,0.000
ECO,27.20,47.00,0,1,0.000
ECO,27.50,47.00,0,1,0.000
CONFORT,27.10,47.00,0,1,0.000
CONFORT,27.00,47.00,0,1,0.000
NOAPTE,27.60,47.00,0,1,0.000
NOAPTE,27.70,47.00,0,1,0.000
NOAPTE,27.80,47.00,0,1,0.000
NOAPTE,27.30,47.00,0,1,0.000
NOAPTE,27.80,47.00,0,1,0.000
NOAPTE,27.10,47.00,0,1,0.000
ECO,27.90,47.00,0,1,0.000
ECO,27.30,47.00,1,1,0.000
NOAPTE,27.20,47.00,0,1,0.000
NOAPTE,27.40,47.00,0,1,0.000
NOAPTE,27.50,47.00,0,1,0.000
NOAPTE,27.10,47.00,0,1,0.000
ECO,27.00,47.00,0,1,0.000
ECO,27.00,47.00,0,1,0.000
ECO,27.90,47.00,0,1,0.000
ECO,27.00,47.00,521,1,0.000
ECO,27.70,47.00,0,1,0.000
ECO,27.20,47.00,0,1,0.000
ECO,27.60,47.00,0,1,0.000
ECO,27.20,47.00,0,1,0.001
ECO,27.40,47.00,0,1,0.000
ECO,27.30,47.00,0,1,0.000
ECO,27.40,47.00,0,0,0.001
ECO,27.20,47.00,0,0,0.000
ECO,27.50,47.00,0,0,0.000
CONFORT,27.80,47.00,0,0,0.570
NOAPTE,27.50,47.00,0,0,0.000
CONFORT,27.30,47.00,0,0,0.542
CONFORT,27.70,47.00,0,0,0.460
CONFORT,27.10,47.00,0,0,0.558
CONFORT,27.70,47.00,0,0,0.542
CONFORT,27.80,47.00,0,0,0.545
CONFORT,27.50,47.00,0,0,0.553
CONFORT,27.00,47.00,0,0,0.539
CONFORT,27.80,47.00,0,0,0.549
CONFORT,27.80,47.00,0,0,0.563
CONFORT,27.50,47.00,0,0,0.604
CONFORT,27.00,47.00,0,0,0.545
CONFORT,27.60,47.00,0,0,0.555
CONFORT,27.40,47.00,19,0,0.539
CONFORT,27.50,47.00,50,0,0.535
CONFORT,27.00,47.00,0,1,0.456
CONFORT,27.60,47.00,0,1,0.556
CONFORT,27.40,47.00,0,1,0.542
CONFORT,27.00,47.00,0,1,0.541
CONFORT,27.60,47.00,0,1,0.528
CONFORT,27.70,47.00,0,1,0.535
CONFORT,27.30,47.00,21,1,0.541
CONFORT,27.70,47.00,66,1,0.456
CONFORT,27.70,47.00,0,1,0.576
CONFORT,27.70,47.00,0,1,0.538
CONFORT,27.70,47.00,0,1,0.536
NOAPTE,27.20,47.00,0,1,0.001
CONFORT,27.60,47.00,0,1,0.547
CONFORT,27.80,47.00,0,1,0.564
CONFORT,27.30,47.00,0,1,0.549
CONFORT,27.80,47.00,0,1,0.544
CONFORT,27.40,47.00,0,0,0.558
CONFORT,27.60,47.00,0,0,0.558
CONFORT,27.90,47.00,0,0,0.573
CONFORT,27.00,47.00,0,0,0.587
CONFORT,27.90,47.00,0,0,0.557
CONFORT,27.50,47.00,0,0,0.546
CONFORT,27.40,47.00,0,0,0.451
CONFORT,27.90,47.00,0,0,0.553
CONFORT,27.60,47.00,0,0,0.547
CONFORT,27.30,47.00,0,0,0.465
CONFORT,27.10,47.00,0,0,0.549
CONFORT,27.70,47.00,0,0,0.575
CONFORT,27.70,47.00,0,0,0.541
CONFORT,27.40,47.00,0,0,0.563
CONFORT,27.50,47.00,0,0,0.542
CONFORT,27.90,47.00,0,0,0.547
CONFORT,27.00,47.00,0,0,0.549
CONFORT,27.10,47.00,0,0,0.544
CONFORT,27.40,47.00,0,0,0.556
CONFORT,27.40,47.00,0,0,0.549
CONFORT,27.60,47.00,0,0,0.559
CONFORT,27.40,47.00,0,0,0.441
CONFORT,27.50,47.00,0,0,0.549
CONFORT,27.90,47.00,0,0,0.549
CONFORT,27.00,47.00,0,0,0.568
CONFORT,27.00,47.00,0,0,0.461
CONFORT,27.90,48.00,0,0,0.549
CONFORT,27.90,48.00,0,0,0.546
CONFORT,27.90,48.00,0,0,0.448
CONFORT,27.00,48.00,0,0,0.577
CONFORT,27.60,48.00,0,0,0.548
CONFORT,27.80,48.00,0,0,0.556
CONFORT,27.90,48.00,0,0,0.453
CONFORT,27.80,48.00,0,0,0.558
CONFORT,27.00,48.00,0,0,0.546
CONFORT,27.60,48.00,0,0,0.543
CONFORT,27.90,48.00,0,0,0.552
CONFORT,27.00,48.00,0,0,0.466
CONFORT,27.90,48.00,0,0,0.589
CONFORT,27.80,48.00,0,0,0.545
CONFORT,27.60,48.00,0,0,0.551
CONFORT,27.90,48.00,0,0,0.451
NOAPTE,27.60,48.00,0,0,0.572
NOAPTE,27.90,48.00,0,0,0.557
NOAPTE,27.10,48.00,0,0,0.000
NOAPTE,27.60,48.00,0,0,0.576
NOAPTE,27.90,48.00,0,0,0.575
NOAPTE,27.50,48.00,0,0,0.002
NOAPTE,27.10,48.00,0,0,0.000
NOAPTE,27.00,48.00,0,0,0.000
NOAPTE,27.00,48.00,0,0,0.000
NOAPTE,27.50,48.00,0,0,0.000
NOAPTE,27.00,48.00,0,0,0.000
ECO,27.50,48.00,0,0,0.000
ECO,27.10,48.00,0,0,0.001
ECO,27.30,48.00,0,0,0.000
ECO,27.40,48.00,0,1,0.000
ECO,27.60,48.00,0,1,0.000
ECO,27.90,48.00,2,1,0.000
ECO,27.90,48.00,0,1,0.000
ECO,27.80,48.00,0,1,0.000
ECO,27.20,48.00,7,1,0.000
ECO,27.50,48.00,0,1,0.000
ECO,27.60,49.00,0,1,0.000
CONFORT,27.20,49.00,0,1,0.565
CONFORT,27.60,49.00,0,1,0.543
CONFORT,27.30,49.00,0,1,0.555
CONFORT,27.30,49.00,0,1,0.561
CONFORT,27.70,49.00,0,1,0.533
CONFORT,27.30,48.00,0,1,0.542
CONFORT,27.00,48.00,0,1,0.601
CONFORT,27.00,48.00,0,1,0.454
ECO,27.80,48.00,36,1,0.000
ECO,27.30,49.00,51,1,0.000
ECO,27.20,48.00,58,1,0.000
ECO,27.70,49.00,53,1,0.000
ECO,27.50,48.00,54,1,0.001
ECO,27.30,48.00,59,1,0.000
ECO,27.50,48.00,94,1,0.000
ECO,27.80,48.00,57,1,0.000
ECO,27.10,48.00,55,1,0.000
ECO,27.80,48.00,58,1,0.000
ECO,27.00,48.00,56,1,0.000
ECO,27.50,48.00,52,1,0.000
ECO,27.10,48.00,55,1,0.001
ECO,27.00,48.00,55,1,0.000
ECO,27.80,48.00,57,1,0.000
ECO,27.00,48.00,56,1,0.000
ECO,27.50,48.00,56,1,0.000
ECO,27.20,48.00,55,1,0.000
ECO,27.10,48.00,58,1,0.000
ECO,27.50,48.00,48,1,0.000
ECO,27.70,48.00,48,1,0.000
ECO,27.70,48.00,48,1,0.000
ECO,27.40,48.00,52,1,0.000
ECO,27.80,48.00,43,1,0.000
ECO,27.00,48.00,47,1,0.000
ECO,27.10,48.00,47,1,0.000
ECO,27.60,48.00,44,1,0.000
ECO,27.50,48.00,50,1,0.000
ECO,27.00,48.00,47,1,0.000
ECO,27.60,48.00,43,1,0.000
ECO,27.20,48.00,52,1,0.000
ECO,27.40,48.00,44,1,0.000
